iter	Passed	Remaining
941	4461	274
942	4464	269
943	4468	265
944	4473	260
945	4478	255
946	4483	250
947	4489	246
948	4493	241
949	4497	236
950	4501	231
951	4506	227
952	4512	222
953	4517	217
954	4523	213
955	4527	208
956	4532	203
957	4538	198
958	4545	194
959	4551	189
960	4556	184
961	4560	180
962	4566	175
963	4570	170
964	4574	165
965	4577	161
966	4582	156
967	4585	151
968	4589	146
969	4593	142
970	4597	137
971	4601	132
972	4605	127
973	4608	123
974	4613	118
975	4621	113
976	4624	108
977	4630	104
978	4636	99
979	4640	94
980	4644	89
981	4648	85
982	4652	80
983	4655	75
984	4660	70
985	4667	66
986	4670	61
987	4674	56
988	4679	52
989	4686	47
990	4691	42
991	4698	37
992	4705	33
993	4709	28
994	4713	23
995	4717	18
996	4721	14
997	4725	9
998	4729	4
999	4733	0
